	0	1	Indication	ICD9	ICD10
21	D06BEP	Chlordiazepoxide; Abboxide; Balance; Chloradiazepoxide; Chlordiazachel; Chlordiazepoxid; Chlordiazepoxidum; Chlordiazepoxydum; Chloridazepoxide; Chloridiazepide; Chloridiazepoxide; Chlorodiazepoxide; Chlozepid; Clopoxide; Clordiazepossido; Clordiazepoxido; Control; Decacil; Disarim; Eden; Elenium; Helogaphen; Ifibrium; Kalmocaps; Librelease; Librinin; Libritabs; Librium; Lygen; Menrium; Mesural; Methaminodiazepoxide; Mildmen; Multum; Napoton; Napton; Psicosan; Radepur; Risolid; Silibrin; Sonimen; Tropium; Viopsicol; Zeisin; Zetran; Chlordiazepoxide Base; Clordiazepossido [Italian]; A-Poxide; Apo-Chlordiazepoxide; Balance (pharmaceutical); Chlordiazepoxidum [INN-Latin]; Clordiazepoxido [INN-Spanish]; Eden-psich; Libritabs (TN); Librium (TN); MENRIUM 10-4; MENRIUM 5-4; Novapam (TN); Novo-Poxide; Tropium (TN); Chlordiazepoxide (JP15/USP/INN); Chlordiazepoxide [USAN:INN:BAN:JAN]; 3H-1,4-Benzodiazepin-2-amine, 7-chloro-N-methyl-5-phenyl, 4-oxide; 3H-1,4-Benzodiazepin-2-amine, 7-chloro-N-methyl-5-phenyl-, 4-oxide; 3H-1,4-Benzodiazepine, 7-chloro-2-(methylamino)-5-phenyl-, 4-oxide; 3H-1,4-benzodiazepin-2-amine,7-chloro-N-methyl-5-phenyl-,4-oxide; 7-Chlor-2-methylamino-5-phenyl-3H-1,4-benzodiazepin-4-oxid; 7-Chlor-2-methylamino-5-phenyl-3H-1,4-benzodiazepin-4-oxid [German]; 7-Chloro-2-(methylamino)-5-phenyl-3H-1,4-benzodiazepine 4-oxide; 7-Chloro-N-methyl-5-phenyl-3H-1,4-benzodiazepin-2-amine 4-oxide; 7-Cloro-2-metilamino-5-fenil-3H-1,4-benzodiazepina 4-ossido; 7-Cloro-2-metilamino-5-fenil-3H-1,4-benzodiazepina 4-ossido [Italian]; 7-chloro-4-hydroxy-N-methyl-5-phenyl-3H-1,4-benzodiazepin-2-imine	Anxiety disorder	300, 311	F32, F40-F42
22	D09XQF	Isoniazid; Abdizide; Andrazide; Anidrasona; Antimicina; Antituberkulosum; Armacide; Armazid; Armazide; Atcotibine; Azuren; Bacillen; Bacillin; Cedin; Cemidon; Chemiazid; Chemidon; Continazine; Cortinazine; Cotinazin; Cotinizin; Defonin; Dibutin; Diforin; Dinacrin; Ditubin; Ebidene; Eralon; Ertuban; Eutizon; Evalon; Fetefu; Fimalene; GINK; HIA; Hidranizil; Hidrasonil; Hidrulta; Hidrun; Hycozid; Hydra; Hydrazid; Hydrazide; Hyozid; Hyzyd; INH; Idrazil; Inah; Inizid; Iscotin; Isidrina; Ismazide; Isobicina; Isocid; Isocidene; Isocotin;Isohydrazide; Isokin; Isolyn; Isonerit; Isonex; Isoniacid; Isoniazida; Isoniazide; Isoniazidum; Isonicazide; Isonicid; Isonico; Isonicotan; Isonicotil; Isonicotinhydrazid; Isonicotinohydrazide; Isonide; Isonidrin; Isonikazid; Isonilex; Isonin; Isonindon; Isonirit; Isoniton; Isonizida; Isonizide; Isotamine; Isotebe; Isotebezid; Isotinyl; Isozid; Isozide; Isozyd; LANIZID; Laniazid; Laniozid; Mybasan; Neoteben; Neoxin; Neumandin; Nevin; Niadrin; Nicazide; Nicetal; Nicizina; Niconyl; Nicotibina; Nicotibine; Nicotisan; Nicozide; Nidaton; Nidrazid; Nikozid; Niplen; Nitadon; Niteban; Nydrazid; Nyscozid; Pelazid; Percin; Phthisen; Pycazide; Pyreazid; Pyricidin; Pyridicin; Pyrizidin; Raumanon; Razide; Retozide; Rimicid; Rimifon; Rimiphone; Rimitsid; Robiselin; Robisellin; Roxifen; Sanohidrazina; Sauterazid; Sauterzid; Stanozide; Tebecid; Tebemid; Tebenic; Tebexin; Tebilon; Tebos; Teebaconin; Tekazin; Tibazide; Tibemid; Tibiazide; Tibinide; Tibison; Tibivis; Tibizide; Tibusan; Tisin; Tisiodrazida; Tizide; Tubazid; Tubazide; Tubeco; Tubecotubercid; Tubercid; Tuberian; Tubicon; Tubilysin; Tubizid; Tubomel; Tyvid; Unicocyde; Unicozyde; Vazadrine; Vederon; Zidafimia; Zinadon; Zonazide; Hid rasonil; Isoco tin; Isoniazid SA; Isozid e; Nidra zid; Rimif on; BP 5015; Bp 5 015; FSR 3; I0138; INHd20; L 1945; Nitebannsc 9659; Preparation 6424; RP 5015; AZT + Isoniazid; Cedin (Aerosol); Dow-Isoniazid; FRS-3; FSR-3; Ido-tebin; In-73; Inh-Burgthal; Isoniazid & EEP; Isoniazid & Propolis; Laniazid (TN); Neo-Tizide; Nydrazid (TN); RP-5015; TB-Phlogin; TB-Razide; TB-Vis; Usaf cb-2; I.A.I; RU-EF-Tb; RY-EF-Tb; I.A.I.	Tuberculosis	010-018	A15-A19
23	D0EC6Q	Chlophedianol; Abehol; Antitussin; Calmotusin; Chlofedanol; Clofedano; Clofedanol; Clofedanolum; Clofedianolo; Dencyl; Eutus; Tussistop; Clofedianolo [Italian]; Clophedianol base; Ulo base; SL 501 base; Antitussin (TN); Clofedanol (INN); Clofedanol [INN:BAN]; Clofedanolum [INN-Latin]; Ulone (TN); Alpha-(Dimethylaminoethyl)-o-chlorobenzhydrol; Benzenemethanol, 2-chloro-alpha-(2-(dimethylamino)ethyl)-alpha-phenyl-(9CI); 1-(2-Chlorophenyl)-1-phenyl-3-dimethylaminopropanol; 1-(2-Chlorophenyl)-3-(dimethylamino)-1-phenyl-1-propanol; 1-(2-chlorophenyl)-3-(dimethylamino)-1-phenylpropan-1-ol; 1-(2-chlorophenyl)-3-dimethylamino-1-phenylpropan-1-ol; 1-Phenyl-1-(o-chlorophenyl)-3-dimethylaminopropanol; 2-Chloro-.alpha.-(2-dimethylaminoethyl)benzhydrol; 2-Chloro-alpha-(2-(dimethylamino)ethyl)benzhydrol; 2-Cloro-alpha-(2-dimetilaminoetil)-benzidrolo; 2-Cloro-alpha-(2-dimetilaminoetil)-benzidrolo [Italian]	Anesthesia	338	R20.0
24	D0EC6Q	Chlophedianol; Abehol; Antitussin; Calmotusin; Chlofedanol; Clofedano; Clofedanol; Clofedanolum; Clofedianolo; Dencyl; Eutus; Tussistop; Clofedianolo [Italian]; Clophedianol base; Ulo base; SL 501 base; Antitussin (TN); Clofedanol (INN); Clofedanol [INN:BAN]; Clofedanolum [INN-Latin]; Ulone (TN); Alpha-(Dimethylaminoethyl)-o-chlorobenzhydrol; Benzenemethanol, 2-chloro-alpha-(2-(dimethylamino)ethyl)-alpha-phenyl-(9CI); 1-(2-Chlorophenyl)-1-phenyl-3-dimethylaminopropanol; 1-(2-Chlorophenyl)-3-(dimethylamino)-1-phenyl-1-propanol; 1-(2-chlorophenyl)-3-(dimethylamino)-1-phenylpropan-1-ol; 1-(2-chlorophenyl)-3-dimethylamino-1-phenylpropan-1-ol; 1-Phenyl-1-(o-chlorophenyl)-3-dimethylaminopropanol; 2-Chloro-.alpha.-(2-dimethylaminoethyl)benzhydrol; 2-Chloro-alpha-(2-(dimethylamino)ethyl)benzhydrol; 2-Cloro-alpha-(2-dimetilaminoetil)-benzidrolo; 2-Cloro-alpha-(2-dimetilaminoetil)-benzidrolo [Italian]	Dry cough		R05
25	D0J4JM	"Reserpine; Abesta; Abicol; Adelfan; Adelphin; Alkarau; Alkaserp; Alserin; Apoplon; Apsical; Ascoserp; Ascoserpina; Austrapine; Banasil; Banisil; Benazyl; Bioserpine; Brinderdin; Briserine; Broserpine; Cardioserpin; Carditivo; Carpacil; Carrserp; Darebon; Deserpine; Dralserp; Eberpine; Eberspine; Ebserpine; Elfanex; Elserpine; Enipresser; Escaspere; Eserpine; Eskaserp; Eskaserpine; Gammaserpine; Gilucard; Helfoserpin; Hexaplin; Hiposerpil; Hiserpia; Hydropine; Hydroserp; Hypersil; Hypersine; Hypertensan; Idoserp; Idsoserp; Interpina; Kitine; Klimanosid; Lemiserp; Loweserp; Mallopress; Maviserpin; Mayserpine; Mephaserpin; Modenol; Naquival; Nembuserpin; Neoserfin; Neoserp; Neoslowten; Orthoserpina; Perskleran; Pressimedin; Purserpine; Quiescin; Raucap; Raudiford; Raudixin; Raudixoid; Raugal; Raulen; Rauloydin; Raumorine; Raunervil; Raunorine; Raunova; Raupasil; Raupoid; Raurine; Rausan; Rausedan; Rausedil; Rausedyl; Rauserpin; Rauserpine; Rauserpol; Rausingle; Rautrin; Rauvlid; Rauwasedin; Rauwilid; Rauwiloid; Rauwipur; Rauwita; Rauwoleaf; Rawilid; Recipin; Regroton; Resaltex; Resedrex; Resedril; Reserbal; Resercaps; Resercen; Reserfia; Reserjen; Reserlor; Reserp; Reserpal; Reserpamed; Reserpanca; Reserpene; Reserpex; Reserpidefe; Reserpil; Reserpin; Reserpina; Reserpinum; Reserpka; Reserpoid; Reserpur; Reserutin; Resiatric; Residin; Residine; Resine; Resocalm; Resperin; Resperine; Respital; Restran; Rezerpin; Riserpa; Rivased; Rivasin; Rolserp; Roxel; Roxinoid; Roxynoid; Ryser; Salupres; Sandril; Sandron; Sedaraupin; Sedaraupina; Sederaupin; Sedserp; Seominal; Serfin; Serfolia; Serolfia; Serpalan; Serpaloid; Serpaneurona; Serpanray; Serpasil; Serpasol; Serpate; Serpazil; Serpazol; Serpedin; Serpen; Serpena; Serpentil; Serpentin; Serpentina; Serpicon; Serpil; Serpiloid; Serpilum; Serpine; Serpipur; Serpivate; Serpivite; Serpogen; Serpoid; Serpone; Serpyrit; Sertabs; Sertens; Sertensin; Sertina; Supergan; Tefaserpina; Temposerpine; Tensanyl; Tenserpinie; Tensional; Tensionorme; Tepserpine; Terbolan; Transerpin; Triserpin; Tylandril; Unilord; Unipres; VIXO; Veriloid; Esc aspere; Hydromox R; Hypercal B; Loweser p; Neose rfin; Rau sedyl; Renese R; Rese rpamed; Se rpate; V Serp; VI XO; Diupres 250; Diupres 500; ENT 50146; H 520; Hydropres 25; Hydropres 50; Hydrosine 25; R 0875; Apoplon (TN); Diupres-250; Diupres-500; Diurese-R; Diutensen-R; HYDRO-RESERP; Hydrap-ES; Hydromox-R; Key-serpine; L-Carpserp; Neo-serp; Rau-Sed; Renese-R; Rese-lar; Reser-ar; SK-Reserpine; T-Serp; Usaf cb-27; V-Serp; Vio-Serpine; Cam-Ap-Es; L""-Carpserp; R-e-s; Ser-A-Gen; 3P Reserp"	Hypertension	401	I10-I16
26	D0H3HM	Aripiprazole; Abilify; Abilitat; Aripiprazol; Aripiprazolum; Aripirazole; Arpizol; Asprito; Discmelt; Pripiprazole; Abilify Discmelt; Aripiprazole [USAN]; Otsuka brand of aripiprazole; OPC 14597; OPC 31; Opc 14597; ALKS-9070; Abilify (TN); BMS-337039; Bristol-Myers Squibb brand of aripiprazole; Discmelt (TN); KS-1030; OPC-14597; OPC-31; S06-0010; Aripiprazole (JAN/USAN/INN); 7-(4-(4-(2,3-Dichlorophenyl)-1-piperazinyl)butoxy)-3,4-dihydro-2(1H)-quinolinone; 7-(4-(4-(2,3-Dichlorophenyl)-1-piperazinyl)butoxy)-3,4-dihydrocarbostyril; 7-(4-(4-(2,3-Dichlorophenyl)-1-piperazinyl)butyloxy)-3,4-dihydro-2(1H)-quinolinone; 7-[4-[4-(2,3-Dichlorophenyl)-1-piperazinyl]butoxy]-3,4-dihydrocarbostyril; 7-[4-[4-(2,3-dichlorophenyl)piperazin-1-yl]butoxy]-3,4-dihydro-1H-quinolin-2-one; 7-{4-[4-(2,3-dichlorophenyl)piperazin-1-yl]butoxy}-3,4-dihydroquinolin-2(1H)-one	Schizophrenia	295	F20
27	D03QGM	Sulpiride; Abilit; Aiglonyl; Alimoral; Arminol; Calmoflorine; Championyl; Coolspan; Darleton; Deponerton; Desisulpid; Desmenat; Digton;Dobren; Dogmatil; Dogmatyl; Dolmatil; Dresent; Eglonil; Eglonyl; Ekilid; Enimon; Equilid; Eusulpid; Fardalan; Fidelan; Guastil; Isnamide; Kylistro; Lebopride; Levobren; Levopraid; Levosulpirida; Levosulpiridum; Lisopiride; Mariastel; Meresa; Miradol; Mirbanil; Misulvan; Neogama; Norestran; Normum; Nufarol; Omiryl; Omperan; Ozoderpin; Pontiride; Psicocen; Pyrikappl; Pyrkappl; Restful; Sernevin; Splotin; Stamonevrol; Sulp; Sulperide; Sulpirid; Sulpirida; Sulpiridum; Sulpitil; Sulpivert; Sulpor; Sulpride; Sulpyrid; Suprium; Sursumid; Synedil; Tepavil; Valirem; Zemorcon; Allphar Brand of Sulpiride; Almirall Brand of Sulpiride; Areu Brand of Sulpiride; Centrum Brand of Sulpiride; Desitin Brand of Sulpiride; Dolorgiet Brand of Sulpiride; Erempharma Brand of Sulpiride; Fumouzer Brand of Sulpiride; Hennig Brand of Sulpiride; Hexal Brand of Sulpiride; Hoechst Brand of Sulpiride; Hormosan Brand of Sulpiride; Krewel Brand of Sulpiride; Levosulpiride [INN]; Magnetic resonance imaging sulpiride; Pharmacia Brand of Sulpiride; Psicofarma Brand of Sulpiride; Rosemont Brand of Sulpiride; Sanofi Synthelabo Brand of Sulpiride; Spyfarma Brand of Sulpiride; Uriach Brand of Sulpiride; Vertigo Meresa; Vertigo neogama; RD 1403; S 8010; Bosnyl (TN); Dogmatil (TN); Dogmatyl (TN); Eglonyl (TN); Levosulpirida [INN-Spanish]; Levosulpiridum [INN-Latin]; Meresa (TN); Neuraxpharm (TN); RV-12309; Ratiopharm (TN); Sanofi-Synthelabo Brand of Sulpiride; Sulpirid (TN); Sulpirida [INN-Spanish]; Sulpiridum [INN-Latin]; Sulpiryd (TN); Vertigo-Meresa; Vertigo-neogama; R. D. 1403; R.D. 1403; Sulpiride (JP15/USAN/INN); Sulpiride [USAN:INN:BAN:JAN]; S-(-)-Sulpiride; N-((1-Ethyl-2-pyrrolidinyl)methyl)-5-sulfamoyl-o-anisamide; (+/-)-Sulpiride; (RS)-(+/-)-sulpiride; (inverted question mark)-Sulpiride	Schizophrenia	295	F20
28	D0U5HU	Cisplatin; Abiplatin; Biocisplatinum; Briplatin; Cismaplat; Cisplatine; Cisplatino; Cisplatinum; Cisplatyl; Citoplationo; Lederplatin; Neoplatin; Plastin; Platamine; Platidiam; Platinoxan; Randa; Cis-DDP; Cis-Diamminedichloroplatinum; Peyrone's chloride; Peyrone's salt; Cis-Dichlorodiammineplatinum(II); Cis-[PtCl2(NH3)2]; Cis-diamminedichloridoplatinum(II); Trans-diamminedichloridoplatinum(II); (SP-4-1)-diamminedichloridoplatinum; (SP-4-1)-diamminedichloroplatinum; (SP-4-2)-diamminedichloridoplatinum; (SP-4-2)-diamminedichloroplatinum; Cisplatin (Chemotherapy)	Cancer	140-229	C00-C96
29	D02STN	ABIRATERONE; Abiraterone (AR inhibitor)	Metastatic castration-resistant prostate cancer	140-229, 185	C61
30	D0D3DU	Methotrexate Sodium; Abitrexate; Folex; Folex Pfs; Methotrexate Lpf; Methotrexate Preservative Free; Methotrexate Sodium; Methotrexate Sodium Preservative Free; Mexate; Mexate-aq; Mexate-aq Preserved; Trexall	Cancer	140-229	C00-C96
31	D02DWM	Amphotericin B; ABLC; Abelcet; Abelecet; Ambisome; Amphocin; Amphomoronal; Amphotec; Amphotericin; Amphotericinum; Amphotherizin; Amphozone; Fungilin; Fungisome; Fungisone; Fungizone; Halizon; SinuNase; Amfotericina B; Amophotericin B; Amphortericin B; Amphotericin B Cholesterol Dispersion; Amphotericin B Colloidal Dispersion; Amphotericin B liposomal; Amphotericin BETA; Amphotericine B; Amphotericinum B; Amphotherizin [German]; Liposomal Amphotericin B; NCI527017; NS 718; AMPH-B; Abelcet (TN); AmBisome (TN); Amfotericina B [INN-Spanish]; Ampho-Moronal; Amphocil (TN); Amphotec (TN); Amphotericin-B; Amphotericine B [INN-French]; Amphotericinum B [INN-Latin]; Fungilin (TN); Fungisome (TN); Fungizone (TN); LNS-AmB; Mysteclin-F; NKTR-024; Amphotericin B [USAN:INN:JAN]; Amphotericin B, Lipid-based; Amphotericin B, Streptomyces sp.; Amphotericin B (JP15/USP/INN)	Fungal infections	110-118	B35-B49
32	D0YA9Z	Ampicillin; ABPC; Acillin; Adobacillin; Alpen; Amblosin; Amcill; Amfipen; Aminobenzylpenicillin; Ampen; Ampichel; Ampicil; Ampicilina; Ampicillanyl; Ampicillina; Ampicilline; Ampicillinum; Ampicin; Ampifarm; Ampikel; Ampimed; Ampipenin; Ampiscel; Ampisyn; Ampivax; Ampivet; Amplacilina; Amplin; Amplipenyl; Amplisom; Amplital; Austrapen; Binotal; Bonapicillin; Britacil; Campicillin; Cimex; Copharcilin; Delcillin; Deripen; Divercillin; Doktacillin; Duphacillin; Grampenil; Guicitrina; Guicitrine; Lifeampil; Morepen; Norobrittin; Nuvapen; Omnipen; Orbicilina; Penbristol; Penbritin; Penbrock; Penicline; Penimic; Pensyn; Pentrex; Pentrexl; Pentrexyl; Polycillin; Ponecil; Princillin; Principen; QIDamp; Racenacillin; Rosampline;Roscillin; Semicillin; Servicillin; Sumipanto; Supen; Synpenin; Texcillin; Tokiocillin; Tolomol; Totacillin; Totalciclina; Totapen; Trifacilina; Ukapen; Ultrabion; Ultrabron; Vampen; Viccillin; Wypicil; Amfipen V; Amipenix S; Ampicillin A; Ampicillin Anhydrous; Ampicillin Base; Ampicillin acid; Ampicillin anhydrate; Ampicillina [DCIT]; Anhydrous ampicillin; Olin Kid; Pen A; Pen A Oral; Pen Ampil;Penbritin paediatric; Penbritin syrup; Pfizerpen A; Semicillin R; Viccillin S; AY 6108; BA 7305; BRL 1341; Bayer 5427; HI 63; P 50; Principen 125; Principen 250; Principen 500; SQ 17382; AB-PC; AB-PCSol; AY-6108; Ambidrin (TN); Ampi-Co; Ampi-Tab; Ampi-bol; Ampicilina [INN-Spanish]; Ampicilline [INN-French]; Ampicillinum [INN-Latin]; Ampipenin, nt3; Ampy-Penyl; Anhydrous ampicillin (JP15); BRL-1341; D-Ampicillin; D-Cillin; KS-R1; Novo-ampicillin; OMNIPEN (AMPICILLIN); Omnipen (TN); Omnipen-N; P-50; Penbritin-S; Penicillin, Aminobenzyl; Pfizerpen-A; Polycillin-N; Polyflex (Veterinary); Ro-Ampen; SK-Ampicillin; Totacillin (sodium); Totacillin-N; WY-5103; Ampicillin (USP/INN); AMPICILLIN (SEE ALSO AMPICILLIN TRIHYDRATE 7177-48-2); Ampicillin [USAN:BAN:INN:JAN]; Ampicillin [USAN:INN:BAN:JAN];D-(-)-Ampicillin; D-(-)-alpha-Aminobenzylpenicillin; D-(-)-alpha-Aminopenicillin; D-(-)-6-(alpha-Aminophenylacetamido)penicillanic acid; 6-(D(-)-alpha-Aminophenylacetamido)penicillanic acid; 6beta-[(2R)-2-amino-2-phenylacetamido]-2,2-dimethylpenam-3alpha-carbonyl; 6beta-[(2R)-2-amino-2-phenylacetamido]-2,2-dimethylpenam-3alpha-carboxylic acid	Bacterial infections	001-009, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-B99
33	D08NQZ	Tetracycline; Abramycin; Abricycline; Achromycin; Agromicina; Ambramicina; Ambramycin; Amycin; Biocycline; Bristaciclin; Bristaciclina; Bristacycline; Cefracycline; Ciclibion; Copharlan; Criseociclina; Cyclomycin; Cyclopar; Cytome; Democracin; Deschlorobiomycin; Dumocyclin; Enterocycline; Hostacyclin; Lexacycline; Limecycline; Medocycline; Mericycline; Micycline; Neocycline; Omegamycin; Orlycycline; Panmycin; Polycycline; Polyotic; Purocyclina; Resteclin; Robitet; Roviciclina; Sanclomycine; Solvocin; Sumycin; Tetrabon; Tetrachel; Tetraciclina; Tetracycl; Tetracyclin; Tetracyclinum; Tetracyn; Tetradecin; Tetrafil; Tetraverine; Tetrazyklin; Topicycline; Tsiklomistsin; Tsiklomitsin; Veracin; Vetacyclinum; Achromycin V; Bristaciclin alpha; Cefracycline suspension; Component of Tetrastatin; Sumycin syrup; Tetracycline Free Base; Tetracycline I; Tetracycline II; Tetracycline Monohydrochloride; Achromycin (naphthacene derivative); Achromycin, naphthacene derivative; Centet (base); Lemtrex (base); Liquamycin (Veterinary); Liquamycin, veterinary; Panmycin (TN); Piracaps (base); Polycycline (VAN); Polycycline (antibiotic); Polycycline, antibiotic; SK-Tetracycline; Sumycin (TN); T-125; Terramycin (TN); Tetra-Co; Tetraciclina [INN-Spanish]; Tetracycline & VRC3375; Tetracycline (internal use); Tetracyclinum [INN-Latin]; Tetracyn (TN); Vetquamycin-324 (free base); Tetracycline (JAN/USP/INN); Tetracycline [USAN:INN:BAN:JAN]; Methyl-1,11-dioxo-2-naphthacenecarboxamide; (-)-Tetracycline; 6-Methyl-1,11-dioxy-2-naphthacenecarboxamide	Bacterial infections	001-009, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-B99
34	D00AOJ	Docosanol; Abreva; Debat; Doconsanol; Erazaban; Healip; Herepair; Lidakol; Lidavol; Tadenan; Behenic alcohol; Behenyl alcohol; Docosanol [USAN]; Docosyl alcohol; IK 2; Lanette 22; NAA 422; Stenol 1822; Stenol 1822A; Abreva (TN); Docosanol (USAN); Docosanol (VAN); Erazaban (TN); IK.2; N-Docosanol; Nacol 22-97; V-1326;BEHENYL ALCOHOL, 98%; Docosan-1-ol; Behenyl alcohol, Abreva, 1-Docosanol, Docosanol; Behenyl alcohol, AI3-36489, Behenic alcohol, 1-Docosanol, Docosyl alcohol, IK-2, Tadenan; 1-DOCOSANOL	Herpes simplex virus infection	54	B00
35	D0G3DL	Rifampin; Abrifam; Archidyn; Arficin; Arzide; Benemicin; Benemycin; Dipicin; Doloresum; Eremfat; Famcin; Fenampicin; RFP; RMP; Ramp; Rifa; Rifadin; Rifadine; Rifagen; Rifaldazin; Rifaldazine; Rifaldin; Rifam; Rifamor; Rifampicin; Rifampicina; Rifampicine; Rifampicinum; Rifamsolin; Rifaprodin; Rifcin; Rifinah; Rifobac; Rifoldin; Rifoldine; Riforal; Rimactan; Rimactane; Rimactazid; Rimactizid; Rimazid; Rimycin; Sinerdol; Tubocin; Rifamicin AMP; Rifampicin SV; Rifampicine [French]; Rifampin [USAN]; Rifamycin AMP; Ba 41166; AZT + Rifampin; BA-41166E; Ba 41166/E; DRG-0109; Dione 21-acetate; L-5103; L-5103 Lepetit; Piperine & Rifampicin; R-Cin; R/AMP; Reserpine & Rifampicin; Rifadin (TN); Rifadin I.V; Rifampicin & EEP; Rifampicin & Propolis; Rifampicina [INN-Spanish]; Rifampicinum [INN-Latin]; Rifampin (USP); Rimactan (TN); Rimactane (TN); Rimycin (TN); Sinerdol (TN); Tubocin (TN); Rifadin I.V.; Rifampicin (JP15/INN); Rifampicin[INN:BAN:JAN]; Rifadin, Rimactane, Rifampicin, Rifampin; 1-b]furan-21-yl acetate; 3-(((4-Methyl-1-piperazinyl)imino)-methyl)rifamycin; 3-(((4-Methyl-1-piperazinyl)imino)methyl)rifamycin SV; 3-(4-Methylpiperazinyliminomethyl)-rifamycin SV; 3-(4-Methylpiperazinyliminomethyl)rifamycin SV; 3-([(4-Methyl-1-piperazinyl)imino]methyl)rifamycin SV; 3-[(4-Methyl-1-piperazinyl)iminomethyl]rifamycin SV; 3-[[(4-Methyl-1-piperazinyl)imino]-methyl]rifamycin; 8-(((4-Methyl-1-piperazinyl)imino)methyl)rifamycin SV; 8-(4-Methylpiperazinyliminomethyl) rifamycin SV; 8-[[(4-Methyl-1-piperazinyl)imino[methyl]rifamycin; 8-[[(4-Methyl-1-piperazinyl)imino]methyl]rifamycin sv; 8-[[(4-Methylpiperazinyl)imino]methyl]rifamycin sv; 8CI)	Tuberculosis	010-018	A15-A19
36	D02YPG	Etomidate; Absele; Amidate; Ethnor; Ethomidate; Etomidato; Etomidatum; Hypnomidate; Radenarcon; Radenarkon; Etomidic acid; R 16659; R 26490; R26490; Amidate (TN); Amidate (pharmaceutical); Amidate, Etomidate; D-Etomidate; Etomidato [INN-Spanish]; Etomidatum [INN-Latin]; R-26490; Etomidate (USAN/INN); Etomidate [USAN:BAN:INN]; Ethyl 3-(1-phenylethyl)imidazole-4-carboxylate; Ethyl 1-(1-phenylethyl)-1H-imidazole-5-carboxylate; R-(+)-Ethyl 1-(1-phenylethyl)-1H-imidazole-5-carboxylate; (+)-Ethyl 1-(alpha-methylbenzyl)imidazole-5-carboxylate; (+)-Etomidate; (R)-(+)-1-(alpha-Methylbenzyl)imidazole-5-carboxylic acid ethyl ester; (d)-Etomidate; 1-(1-Phenylethyl)-1H-imidazole-5-carboxylic acid ethyl ester; 1-(1-Phenylethyl)-imidazole-5-carboxylic acid, ethyl ester; 1-(alpha-Methylbenzyl)-1H-imidazole-5-carboxylic acid ethyl ester; 1H-Imidazole-5-carboxylic acid, 1-((1R)-1-phenylethyl)-, ethyl ester; 3-(1-Phenyl-ethyl)-3H-imidazole-4-carboxylic acid ethyl ester	Anesthesia	338	R20.0
37	D0U4VT	Trimethadione; Absentol; Absetil; Convenixa; Convexina; Edion; Epidione; Epidone; Epixal; Etydion; Minoaleuiatin; Minoaleviatin; Petidion; Petidon; Petilep; Petimalin; Pitmal; Ptimal; Tioxanona; Tredione; Tricione; Tridilona; Tridion; Tridione; Tridone; Trilidona; Trimedal; Trimedone; Trimetadiona; Trimetadione; Trimethadion; Trimethadionum; Trimethdione; Trimethin; Trimethinum; Trimetin; Trioksal; Trioxanona; Triozanona; Tromedone; Troxidone; Abbott Brand of Trimethadione; Trimetadione [DCIT]; A 2297; Mino-Aleviatin; Neo-Absentol; Tridione (TN); Trimetadiona [INN-Spanish]; Trimethadione [INN:JAN]; Trimethadionum [INN-Latin]; Trimethadione (JP15/INN); 3,3,5-Trimethyl-2,4-diketooxazolidine; 3,5,5,-Trimethyloxazolidine-2,4-dione; 3,5,5-TRIMETHYL-OXAZOLIDINE-2,4-DIONE; 3,5,5-Trimethyl-1,3-oxazolidine-2,4-dione; 3,5,5-Trimethyl-2,4-oxazolidinedione; 3,5,5-Trojmetylooksazolidyno-2,4-dion; 3,5,5-Trojmetylooksazolidyno-2,4-dion [Polish]	Epileptic conditions; Pancreatic cancer	345, 140-199, 140-229, 157, 210-229	G40, C25
